alg,op,n,ns
Ed25519,verify_chain,1,96583
Ed25519,verify_chain,1,95043
Ed25519,verify_chain,1,95110
Ed25519,verify_chain,1,97468
Ed25519,verify_chain,1,93151
Ed25519,verify_chain,1,94531
Ed25519,verify_chain,1,100899
Ed25519,verify_chain,1,93732
Ed25519,verify_chain,1,93705
Ed25519,verify_chain,1,95129
Ed25519,verify_chain,1,95471
Ed25519,verify_chain,1,94426
Ed25519,verify_chain,1,92735
Ed25519,verify_chain,1,92657
Ed25519,verify_chain,1,107408
Ed25519,verify_chain,2,138383
Ed25519,verify_chain,2,127525
Ed25519,verify_chain,2,125131
Ed25519,verify_chain,2,124554
Ed25519,verify_chain,2,124435
Ed25519,verify_chain,2,124615
Ed25519,verify_chain,2,124418
Ed25519,verify_chain,2,124445
Ed25519,verify_chain,2,124257
Ed25519,verify_chain,2,124303
Ed25519,verify_chain,2,124293
Ed25519,verify_chain,2,124260
Ed25519,verify_chain,2,124307
Ed25519,verify_chain,2,124313
Ed25519,verify_chain,2,124430
Ed25519,verify_chain,2,124278
Ed25519,verify_chain,2,159249
Ed25519,verify_chain,2,125337
Ed25519,verify_chain,2,124449
Ed25519,verify_chain,2,124261
Ed25519,verify_chain,2,124144
Ed25519,verify_chain,2,124440
Ed25519,verify_chain,2,124119
Ed25519,verify_chain,2,124276
Ed25519,verify_chain,2,124410
Ed25519,verify_chain,2,124125
Ed25519,verify_chain,2,124510
Ed25519,verify_chain,2,124176
Ed25519,verify_chain,2,124319
Ed25519,verify_chain,2,124285
Ed25519,verify_chain,2,124033
Ed25519,verify_chain,2,124202
Ed25519,verify_chain,2,136476
Ed25519,verify_chain,2,125283
Ed25519,verify_chain,2,124104
Ed25519,verify_chain,2,124221
Ed25519,verify_chain,2,124164
Ed25519,verify_chain,2,124018
Ed25519,verify_chain,2,132941
Ed25519,verify_chain,2,125578
Ed25519,verify_chain,2,124253
Ed25519,verify_chain,2,124210
Ed25519,verify_chain,2,124200
Ed25519,verify_chain,2,124146
Ed25519,verify_chain,2,124527
Ed25519,verify_chain,2,124066
Ed25519,verify_chain,2,134463
Ed25519,verify_chain,2,132610
Ed25519,verify_chain,2,126182
Ed25519,verify_chain,2,124374
Ed25519,verify_chain,2,124030
Ed25519,verify_chain,2,124293
Ed25519,verify_chain,2,124208
Ed25519,verify_chain,2,124173
Ed25519,verify_chain,2,124446
Ed25519,verify_chain,2,124151
Ed25519,verify_chain,2,124318
Ed25519,verify_chain,2,124198
Ed25519,verify_chain,2,124068
Ed25519,verify_chain,2,132496
Ed25519,verify_chain,2,128833
Ed25519,verify_chain,2,124804
Ed25519,verify_chain,2,124642
Ed25519,verify_chain,2,124597
Ed25519,verify_chain,2,124671
Ed25519,verify_chain,2,127367
Ed25519,verify_chain,2,136407
Ed25519,verify_chain,2,129452
Ed25519,verify_chain,2,124499
Ed25519,verify_chain,2,124319
Ed25519,verify_chain,2,124570
Ed25519,verify_chain,2,124621
Ed25519,verify_chain,2,140468
Ed25519,verify_chain,2,125235
Ed25519,verify_chain,2,124054
Ed25519,verify_chain,2,134476
Ed25519,verify_chain,2,125476
Ed25519,verify_chain,2,124088
Ed25519,verify_chain,2,124021
Ed25519,verify_chain,2,132046
Ed25519,verify_chain,2,125057
Ed25519,verify_chain,2,124386
Ed25519,verify_chain,2,124240
Ed25519,verify_chain,2,124450
Ed25519,verify_chain,2,124441
Ed25519,verify_chain,2,124134
Ed25519,verify_chain,2,124223
Ed25519,verify_chain,2,124202
Ed25519,verify_chain,2,124413
Ed25519,verify_chain,2,124013
Ed25519,verify_chain,2,124206
Ed25519,verify_chain,2,134259
Ed25519,verify_chain,2,125337
Ed25519,verify_chain,2,124202
Ed25519,verify_chain,2,124314
Ed25519,verify_chain,2,124237
Ed25519,verify_chain,2,124248
Ed25519,verify_chain,2,124199
Ed25519,verify_chain,2,126638
Ed25519,verify_chain,2,129295
Ed25519,verify_chain,2,130170
Ed25519,verify_chain,5,220051
Ed25519,verify_chain,5,219000
Ed25519,verify_chain,5,229506
Ed25519,verify_chain,5,220251
Ed25519,verify_chain,5,228064
Ed25519,verify_chain,5,220850
Ed25519,verify_chain,5,227576
Ed25519,verify_chain,5,219407
Ed25519,verify_chain,5,219478
Ed25519,verify_chain,5,219431
Ed25519,verify_chain,5,230650
