alg,op,n,ns
Ed25519,verify_chain,1,88774
Ed25519,verify_chain,1,88575
Ed25519,verify_chain,1,88402
Ed25519,verify_chain,1,88437
Ed25519,verify_chain,1,88444
Ed25519,verify_chain,1,88433
Ed25519,verify_chain,1,96357
Ed25519,verify_chain,1,92164
Ed25519,verify_chain,1,88658
Ed25519,verify_chain,1,88546
Ed25519,verify_chain,1,88294
Ed25519,verify_chain,1,88328
Ed25519,verify_chain,1,88262
Ed25519,verify_chain,1,88644
Ed25519,verify_chain,1,88506
Ed25519,verify_chain,2,119462
Ed25519,verify_chain,2,119496
Ed25519,verify_chain,2,119345
Ed25519,verify_chain,2,119036
Ed25519,verify_chain,2,131517
Ed25519,verify_chain,2,120464
Ed25519,verify_chain,2,119394
Ed25519,verify_chain,2,119294
Ed25519,verify_chain,2,119142
Ed25519,verify_chain,2,127103
Ed25519,verify_chain,2,135222
Ed25519,verify_chain,2,124790
Ed25519,verify_chain,2,119666
Ed25519,verify_chain,2,119267
Ed25519,verify_chain,2,119060
Ed25519,verify_chain,2,119184
Ed25519,verify_chain,2,119096
Ed25519,verify_chain,2,118974
Ed25519,verify_chain,2,119269
Ed25519,verify_chain,2,119238
Ed25519,verify_chain,2,119501
Ed25519,verify_chain,2,119208
Ed25519,verify_chain,2,119093
Ed25519,verify_chain,2,127165
Ed25519,verify_chain,2,122024
Ed25519,verify_chain,2,119597
Ed25519,verify_chain,2,119285
Ed25519,verify_chain,2,119226
Ed25519,verify_chain,2,119155
Ed25519,verify_chain,2,119356
Ed25519,verify_chain,2,119392
Ed25519,verify_chain,2,119252
Ed25519,verify_chain,2,119199
Ed25519,verify_chain,2,119285
Ed25519,verify_chain,2,119123
Ed25519,verify_chain,2,127007
Ed25519,verify_chain,2,120129
Ed25519,verify_chain,2,128272
Ed25519,verify_chain,2,120464
Ed25519,verify_chain,2,119288
Ed25519,verify_chain,2,129749
Ed25519,verify_chain,2,120331
Ed25519,verify_chain,2,119523
Ed25519,verify_chain,2,119487
Ed25519,verify_chain,2,120175
Ed25519,verify_chain,2,119342
Ed25519,verify_chain,2,119309
Ed25519,verify_chain,2,119499
Ed25519,verify_chain,2,119471
Ed25519,verify_chain,2,119385
Ed25519,verify_chain,2,119478
Ed25519,verify_chain,2,119310
Ed25519,verify_chain,2,119480
Ed25519,verify_chain,2,119358
Ed25519,verify_chain,2,127967
Ed25519,verify_chain,2,120015
Ed25519,verify_chain,2,119418
Ed25519,verify_chain,2,119486
Ed25519,verify_chain,2,119254
Ed25519,verify_chain,2,119216
Ed25519,verify_chain,2,119350
Ed25519,verify_chain,2,119260
Ed25519,verify_chain,2,118978
Ed25519,verify_chain,2,119195
Ed25519,verify_chain,2,119145
Ed25519,verify_chain,2,119333
Ed25519,verify_chain,2,119130
Ed25519,verify_chain,2,119126
Ed25519,verify_chain,2,129494
Ed25519,verify_chain,2,120438
Ed25519,verify_chain,2,123456
Ed25519,verify_chain,2,125694
Ed25519,verify_chain,2,128445
Ed25519,verify_chain,2,121105
Ed25519,verify_chain,2,119261
Ed25519,verify_chain,2,119368
Ed25519,verify_chain,2,119358
