alg,phase,rep,ns
Ed25519,append_realtime,74,44404
Ed25519,append_realtime,75,34612
Ed25519,append_realtime,76,34139
Ed25519,append_realtime,77,34013
Ed25519,append_realtime,78,34218
Ed25519,append_realtime,79,34118
Ed25519,append_realtime,80,34071
Ed25519,append_realtime,81,34217
Ed25519,append_realtime,82,34014
Ed25519,append_realtime,83,33892
Ed25519,append_realtime,84,33889
Ed25519,append_realtime,85,33921
Ed25519,append_realtime,86,33941
Ed25519,append_realtime,87,34061
Ed25519,append_realtime,88,34006
Ed25519,append_realtime,89,34094
Ed25519,append_realtime,90,33786
Ed25519,append_realtime,91,33920
Ed25519,append_realtime,92,33971
Ed25519,append_realtime,93,34210
Ed25519,append_realtime,94,33950
Ed25519,append_realtime,95,34041
Ed25519,append_realtime,96,34120
Ed25519,append_realtime,97,34691
Ed25519,append_realtime,98,33821
Ed25519,append_realtime,99,33876
Ed25519,append_realtime,100,33750
Ed25519,append_sign,0,23179
Ed25519,append_sign,1,23090
Ed25519,append_sign,2,23095
Ed25519,append_sign,3,23369
Ed25519,append_sign,4,23169
Ed25519,append_sign,5,23296
Ed25519,append_sign,6,23140
Ed25519,append_sign,7,23332
Ed25519,append_sign,8,23341
Ed25519,append_sign,9,23308
Ed25519,append_sign,10,23441
Ed25519,append_sign,11,23168
Ed25519,append_sign,12,23251
Ed25519,append_sign,13,23059
Ed25519,append_sign,14,26549
Ed25519,append_sign,15,24394
Ed25519,append_sign,16,23575
Ed25519,append_sign,17,23497
Ed25519,append_sign,18,23391
Ed25519,append_sign,19,23437
Ed25519,append_sign,20,23453
Ed25519,append_sign,21,23615
Ed25519,append_sign,22,23715
Ed25519,append_sign,23,23517
Ed25519,append_sign,24,30848
Ed25519,append_sign,25,25007
Ed25519,append_sign,26,23753
Ed25519,append_sign,27,23244
Ed25519,append_sign,28,23508
Ed25519,append_sign,29,23363
Ed25519,append_sign,30,23077
Ed25519,append_sign,31,23687
Ed25519,append_sign,32,23134
Ed25519,append_sign,33,23451
Ed25519,append_sign,34,23229
Ed25519,append_sign,35,23158
Ed25519,append_sign,36,23451
