alg,n,phase,median_ns,reps
Fndsa1024,0,authority_build,12458648,101
Fndsa1024,0,append_hop,12889206,101
Fndsa1024,0,seal,303844,101
Fndsa1024,0,verify_chain,119879,101
Fndsa1024,0,authorize,4720,101
Fndsa1024,1,authority_build,12766178,101
Fndsa1024,1,append_hop,13305238,101
Fndsa1024,1,seal,298158,101
Fndsa1024,1,verify_chain,186176,101
Fndsa1024,1,authorize,7004,101
Fndsa1024,2,authority_build,12598885,101
Fndsa1024,2,append_hop,13090968,101
Fndsa1024,2,seal,299305,101
Fndsa1024,2,verify_chain,254591,101
Fndsa1024,2,authorize,9096,101
Fndsa1024,5,authority_build,13399203,101
Fndsa1024,5,append_hop,13134179,101
Fndsa1024,5,seal,302428,101
Fndsa1024,5,verify_chain,463679,101
Fndsa1024,5,authorize,14811,101
Fndsa1024,10,authority_build,13214056,101
Fndsa1024,10,append_hop,12809417,101
Fndsa1024,10,seal,305318,101
Fndsa1024,10,verify_chain,837261,101
Fndsa1024,10,authorize,25320,101
Fndsa1024,20,authority_build,12684383,101
Fndsa1024,20,append_hop,12667736,101
Fndsa1024,20,seal,313878,101
Fndsa1024,20,verify_chain,1516176,101
Fndsa1024,20,authorize,44469,101
Slhdsa128s,0,authority_build,138975208,5
Slhdsa128s,0,append_hop,137444623,5
Slhdsa128s,0,seal,121480036,5
Slhdsa128s,0,verify_chain,385804,5
Slhdsa128s,0,authorize,5453,5
Slhdsa128s,1,authority_build,136494505,5
Slhdsa128s,1,append_hop,135105900,5
Slhdsa128s,1,seal,119598979,5
Slhdsa128s,1,verify_chain,591875,5
Slhdsa128s,1,authorize,7572,5
Slhdsa128s,2,authority_build,135172059,5
Slhdsa128s,2,append_hop,135564723,5
Slhdsa128s,2,seal,120222056,5
Slhdsa128s,2,verify_chain,782249,5
Slhdsa128s,2,authorize,10135,5
Slhdsa128f,0,authority_build,6161132,5
Slhdsa128f,0,append_hop,6749875,5
Slhdsa128f,0,seal,6232157,5
Slhdsa128f,0,verify_chain,1036198,5
Slhdsa128f,0,authorize,5046,5
Slhdsa128f,1,authority_build,6569781,5
Slhdsa128f,1,append_hop,6329451,5
Slhdsa128f,1,seal,6081964,5
Slhdsa128f,1,verify_chain,1582065,5
Slhdsa128f,1,authorize,7450,5
Slhdsa128f,2,authority_build,6311065,5
Slhdsa128f,2,append_hop,6187010,5
Slhdsa128f,2,seal,5925218,5
Slhdsa128f,2,verify_chain,2071853,5
Slhdsa128f,2,authorize,9672,5
Slhdsa256s,0,authority_build,223520412,5
Slhdsa256s,0,append_hop,225684129,5
Slhdsa256s,0,seal,205836923,5
Slhdsa256s,0,verify_chain,825500,5
Slhdsa256s,0,authorize,5174,5
Slhdsa256s,1,authority_build,221117994,5
Slhdsa256s,1,append_hop,220956677,5
Slhdsa256s,1,seal,204170874,5
Slhdsa256s,1,verify_chain,1258152,5
Slhdsa256s,1,authorize,7149,5
Slhdsa256s,2,authority_build,222531557,5
Slhdsa256s,2,append_hop,222311317,5
Slhdsa256s,2,seal,207454370,5
Slhdsa256s,2,verify_chain,1683326,5
Slhdsa256s,2,authorize,9948,5
Slhdsa256f,0,authority_build,21389204,5
Slhdsa256f,0,append_hop,22681903,5
Slhdsa256f,0,seal,21269418,5
Slhdsa256f,0,verify_chain,1554838,5
Slhdsa256f,0,authorize,5283,5
Slhdsa256f,1,authority_build,21700445,5
Slhdsa256f,1,append_hop,21953788,5
Slhdsa256f,1,seal,20893779,5
Slhdsa256f,1,verify_chain,2336751,5
Slhdsa256f,1,authorize,7151,5
Slhdsa256f,2,authority_build,22035822,5
Slhdsa256f,2,append_hop,21993995,5
Slhdsa256f,2,seal,21348119,5
Slhdsa256f,2,verify_chain,3150294,5
Slhdsa256f,2,authorize,9721,5
