tag,alg,verify_us_per_sig,intercept_us,r2
avx2,Ed25519,31.36289263803682,-5.678398773006124,0.999804684385118
avx2,Fndsa1024,67.16352760736197,-15.668754601227,0.9998505573924972
avx2,Fndsa512,33.318009202453986,-9.933251533742329,0.9993034876403573
avx2,HybridEdFndsa512,73.9157239263804,-13.998453987730029,0.9999259976136592
avx2,HybridEdMldsa44,72.51702147239266,-15.019920245398769,0.99990029840545
avx2,Mldsa44,30.631423312883445,-10.698570552147256,0.9999104245913751
avx2,Mldsa65,43.752003067484665,-4.674417177914062,0.9999921187178645
avx2,Mldsa87,65.7219693251534,-13.380828220858842,0.9999704518937619
avx2,Slhdsa128f,503.91050000000007,-21.32616666666691,0.9984993114565979
avx2,Slhdsa128s,199.67750000000007,-22.618500000000328,0.9989977637204376
avx2,Slhdsa256f,845.8390000000005,-251.88433333333575,0.9991064046820748
avx2,Slhdsa256s,415.273,-28.042666666666765,0.9999708570521623
portable,Ed25519,32.23570858895706,-4.315368098159482,0.9999205518686696
portable,Fndsa1024,72.91902453987731,-29.18433742331292,0.9995227715762781
portable,Fndsa512,37.491524539877304,-14.245337423312888,0.9995332049994454
portable,HybridEdFndsa512,72.36356441717794,-1.126760736196369,0.9987690377386521
portable,HybridEdMldsa44,119.45272085889572,-6.029036809815947,0.9999874102943656
portable,Mldsa44,78.35765644171781,-7.908276073619633,0.9997710947532146
portable,Mldsa65,122.77282822085894,-11.275638036809774,0.9999979583522738
portable,Mldsa87,198.51506441717797,-2.641760736196228,0.9999179082200615
portable,Slhdsa128f,1142.494,59.3146666666662,0.9990632821465988
portable,Slhdsa128s,400.1795000000001,-58.33016666666703,0.9999589777596049
portable,Slhdsa256f,1779.7300000000005,-197.20433333333503,0.9999718202454458
portable,Slhdsa256s,921.8209999999998,-225.2443333333331,0.9999914560747257
