alg,check,result,detail
HybridEdFndsa512,f9_hybrid_cross_combo,PASS,"token of one hybrid combo rejected under the other combo root"
Slhdsa128s,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Slhdsa128s,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Slhdsa128s,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Slhdsa128s,f4_key_bytes_roundtrip,PASS,"sk 96 B, pk 32 B round-trip equal"
Slhdsa128s,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Slhdsa128s,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Slhdsa128s,f7_third_party_pq,PASS,"third-party block verifies"
Slhdsa128s,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Slhdsa128f,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Slhdsa128f,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Slhdsa128f,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Slhdsa128f,f4_key_bytes_roundtrip,PASS,"sk 96 B, pk 32 B round-trip equal"
Slhdsa128f,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Slhdsa128f,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Slhdsa128f,f7_third_party_pq,PASS,"third-party block verifies"
Slhdsa128f,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Slhdsa256s,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Slhdsa256s,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Slhdsa256s,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Slhdsa256s,f4_key_bytes_roundtrip,PASS,"sk 192 B, pk 64 B round-trip equal"
Slhdsa256s,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Slhdsa256s,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Slhdsa256s,f7_third_party_pq,PASS,"third-party block verifies"
Slhdsa256s,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Slhdsa256f,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Slhdsa256f,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Slhdsa256f,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Slhdsa256f,f4_key_bytes_roundtrip,PASS,"sk 192 B, pk 64 B round-trip equal"
Slhdsa256f,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Slhdsa256f,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Slhdsa256f,f7_third_party_pq,PASS,"third-party block verifies"
Slhdsa256f,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
