rtt,profile,overhead_pct
1,ed25519,0.0
1,mldsa87,171.06065329879735
1,fndsa512,96.20792707141716
1,fndsa1024,121.1499054607529
1,slhdsa128f,658.2975348669042
1,hyb-ed-fndsa512,74.77434459703758
1,mix-mldsa87-fndsa512,39.87704563370933
20,ed25519,0.0
20,mldsa87,17.387406650152393
20,fndsa512,4.982893483132345
20,fndsa1024,10.903141038735797
20,slhdsa128f,60.39127530797026
20,hyb-ed-fndsa512,0.8776087091815654
20,mix-mldsa87-fndsa512,-2.55073022814839
50,ed25519,0.0
50,mldsa87,6.522453731987454
50,fndsa512,0.05953818855981563
50,fndsa1024,2.415573137479221
50,slhdsa128f,19.35149942520249
50,hyb-ed-fndsa512,-2.613401885169453
50,mix-mldsa87-fndsa512,-4.289535157883229
100,ed25519,0.0
100,mldsa87,3.011648307584869
100,fndsa512,1.0325887129899236
100,fndsa1024,0.059367842148749794
100,slhdsa128f,9.574016602324331
100,hyb-ed-fndsa512,-2.062105324648311
100,mix-mldsa87-fndsa512,-2.979256592858237
200,ed25519,0.0
200,mldsa87,4.413635230489343
200,fndsa512,2.2682474280830034
200,fndsa1024,0.6315236694989013
200,slhdsa128f,5.565737227788747
200,hyb-ed-fndsa512,-0.67636483012391
200,mix-mldsa87-fndsa512,-0.819234851082018
