profile,n,mode,rtt_ms,samples,total_p50_us,total_p95_us,total_p99_us,tsrv_us,rho,p50_ci_lo_us,p50_ci_hi_us,fail,fail_rate
ed25519,20,ka,0,1000,902.0485,1056.9903,1676.7955,819.254,0.9082150239150112,898.6955,904.9769375,0,0.0
ed25519,20,ka,1,1000,2108.9125,2643.2005499999996,3271.039089999999,842.6515,0.3995668383586327,2102.5205,2117.4461875,0,0.0
ed25519,20,ka,5,1000,6295.6435,7246.7188,7915.4266,1074.0285,0.1705986846300938,6270.1591875,6315.28895,0,0.0
ed25519,20,ka,20,1000,23274.6095,25126.394399999997,26028.14932,2803.5285,0.12045437325167582,23164.798,23404.615837499998,0,0.0
ed25519,20,ka,50,1000,55284.685,58200.753450000004,59087.20026,4411.2975,0.07979239639332303,55016.2915,55502.9765875,0,0.0
ed25519,20,ka,100,400,106572.0055,109362.5595,109993.35773999999,5548.4665,0.052063076733598675,106367.3705,106720.522,0,0.0
ed25519,20,ka,200,400,205648.1115,209241.25385,210258.55716,4532.627,0.022040693527107833,204909.492,206046.748,0,0.0
ed25519,20,new,0,400,1034.077,1493.5876499999981,2372.832759999999,875.6995,0.8468416762001282,1023.671,1041.0885,0,0.0
ed25519,20,new,1,400,3389.938,4184.3226,4937.733119999995,909.0335,0.2681563792612136,3378.055,3411.307,0,0.0
ed25519,20,new,5,400,12054.921,13908.25745,14737.069859999996,1461.859,0.12126657652920331,11887.599,12237.484,0,0.0
ed25519,20,new,20,400,46006.631,49096.70465,49477.73543,4838.5645,0.10517102415084469,45711.698,46277.808,0,0.0
ed25519,20,new,50,400,107044.6315,110082.5643,111139.55617,4980.557,0.04652785413157315,106750.731,107202.647,0,0.0
ed25519,20,new,100,200,206068.4875,209894.70705000003,211762.07267999998,3999.213,0.01940720315133094,205167.158,206533.32605,0,0.0
ed25519,20,new,200,200,406809.7345,410082.57645,410898.05896999995,4525.547,0.011124480601631228,406448.125225,407276.8581625,0,0.0
fndsa1024,1,ka,0,1000,1115.43,2338.3410999999996,2701.3673599999993,873.644,0.7832351649139794,1019.27,1211.836875,0,0.0
fndsa1024,1,ka,1,1000,2314.5355,3332.5369,3813.5760399999995,902.862,0.3900834530297764,2243.0751124999997,2380.246,0,0.0
fndsa1024,1,ka,5,1000,6655.9755,7947.11935,8695.151039999999,1107.5865,0.1664048342726021,6593.44995,6732.54,0,0.0
fndsa1024,1,ka,20,1000,21762.003,23323.6026,24169.452289999997,1138.0115,0.05229350901201511,21700.7307625,21821.725,0,0.0
fndsa1024,1,ka,50,1000,52979.833,54753.26425,55746.22139,1719.7215,0.03245992678006365,52860.140237499996,53050.25765,0,0.0
fndsa1024,1,ka,100,400,105029.922,108767.8605,109455.09561,1850.811,0.01762174973337598,104844.3925,105255.618,0,0.0
fndsa1024,1,ka,200,400,211837.5165,218714.1911,219181.0423,1689.7635,0.00797669613918458,211059.808,212614.8185,0,0.0
fndsa1024,1,new,0,400,1288.2675,2423.52855,3090.206189999999,829.055,0.6435425872344059,1195.497,1447.3514499999997,0,0.0
fndsa1024,1,new,1,400,3710.88,4995.42665,5443.650529999998,923.378,0.24882992713318675,3634.887025,3839.6559624999995,0,0.0
fndsa1024,1,new,5,400,12580.53,14385.591849999999,15286.420739999998,1355.436,0.10774077085782555,12441.442,12691.9415,0,0.0
fndsa1024,1,new,20,400,43436.4465,46171.99005,47283.43527,1683.0225,0.03874678146150837,43284.1905,43634.7855,0,0.0
fndsa1024,1,new,50,400,105718.4955,109298.18245000001,110260.28532,1540.436,0.014571111636752341,105496.723,105919.19,0,0.0
fndsa1024,1,new,100,200,208663.3985,214923.4775,216788.99735,1652.4405,0.0079191679608343,208234.607,209154.297,0,0.0
fndsa1024,1,new,200,200,414326.5675,421952.57045,423031.18132999993,1725.9615,0.00416570318049904,413674.742,414762.4035,0,0.0
fndsa1024,5,ka,0,1000,2019.3195,3759.5217499999994,4442.79314,1755.5725,0.8693881775518931,1906.835,2147.0810749999996,0,0.0
fndsa1024,5,ka,1,1000,3403.993,5225.4648,6489.097360000001,1940.747,0.570138363974309,3272.285,3520.6525,0,0.0
fndsa1024,5,ka,5,1000,7835.6765,9999.474699999999,10662.64252,2202.3565,0.28106781845830414,7639.344,7944.139099999999,0,0.0
fndsa1024,5,ka,20,1000,23572.7745,26179.795999999995,27338.453149999998,2761.7955,0.11716039195980091,23429.855,23700.935575,0,0.0
fndsa1024,5,ka,50,1000,54083.518,57283.9793,58701.0585,2934.931,0.054266643675065666,53949.1064,54204.5775,0,0.0
fndsa1024,5,ka,100,400,107296.99,109858.40624999999,111207.80032,3535.5975,0.032951506840965435,107098.968,107479.782,0,0.0
fndsa1024,5,ka,200,400,213011.1425,219141.9932,219497.63744,3700.4415,0.017372056018149378,212051.1948375,213949.189,0,0.0
