build,n,hybrid,ratio,lo,hi
avx2,5,HybridEdMldsa44,2.319712324288983,2.2961766899898963,2.3405474914943794
avx2,5,HybridEdFndsa512,2.3776643878126316,2.344178163035986,2.399324289056235
avx2,10,HybridEdMldsa44,2.3035304487093358,2.2767774730609323,2.334850829329207
avx2,10,HybridEdFndsa512,2.349736922721385,2.3194263849113597,2.3844740988878095
portable,5,HybridEdMldsa44,3.787675228320907,3.7643455380798088,3.8010597873135348
portable,5,HybridEdFndsa512,2.382672220500574,2.34623698977386,2.395772817437698
portable,10,HybridEdMldsa44,3.7220899515741657,3.6814073645851613,3.7571959121319076
portable,10,HybridEdFndsa512,2.2436468799628657,2.2181331044259758,2.267997236952348
